pdg_name,strategy,replicate,initial,final,resolution_pct,distortion_tv,success
chain_4v_3e,uniform,0,0.06644455343484879,1.3810463315166999e-06,99.99792150558605,0.30783294054373395,True
chain_4v_3e,partial,0,0.06644455343484879,0.006828668061643839,89.72275723345844,0.216976283824936,True
chain_4v_3e,hub,0,0.06644455343484879,2.293064426339697e-06,99.9965489053537,0.33088442826368303,True
chain_4v_3e,uniform,1,0.05946839228272438,1.8656118072613026e-07,99.99968628514482,0.24267743685806026,True
chain_4v_3e,partial,1,0.05946839228272438,0.04998904839158058,15.940138159574152,0.07567462942617287,True
chain_4v_3e,hub,1,0.05946839228272438,4.558896762318909e-06,99.99233391624135,0.22820857254601581,True
chain_5v_4e,uniform,0,0.08136879652738571,1.1920285942323972e-05,99.98535029833174,0.2844583950079151,True
chain_5v_4e,partial,0,0.08136879652738571,0.0172510277479887,78.79896411865617,0.18283966002410004,True
chain_5v_4e,hub,0,0.08136879652738571,1.5454928870894946e-05,99.98100631995253,0.20148727745057163,True
chain_5v_4e,uniform,1,0.20843957364559174,1.9812518075923435e-05,99.99049483851391,0.24097416218989387,True
chain_5v_4e,partial,1,0.20843957364559174,0.04744207113981247,77.23941269402236,0.2651270992259584,True
chain_5v_4e,hub,1,0.20843957364559174,1.3255097655928694e-05,99.99364079602347,0.20988089576593705,True
chain_6v_5e,uniform,0,0.281259685754776,1.7171993022202514e-05,99.99389461273978,0.49822166138965596,True
chain_6v_5e,partial,0,0.281259685754776,0.04417499154806137,84.29387722967999,0.25013983264644685,True
chain_6v_5e,hub,0,0.281259685754776,3.591545100789517e-05,99.9872305016229,0.4987886151517199,True
chain_6v_5e,uniform,1,0.023992760106921196,0.00012820740812458098,99.4656412703114,0.5016776433868331,True
chain_6v_5e,partial,1,0.023992760106921196,0.0006793081411160529,97.16869531438323,0.2681462474278129,True
chain_6v_5e,hub,1,0.023992760106921196,2.5528874175506644e-05,99.89359759335008,0.33696504694834123,True
chain_7v_6e,uniform,0,0.194461390376091,0.00010700596612878144,99.94497315589392,0.5498413184631752,True
chain_7v_6e,partial,0,0.194461390376091,0.026686053723096848,86.27693977118767,0.3579027732126735,True
chain_7v_6e,hub,0,0.194461390376091,0.00012393049837555736,99.93626986923427,0.3593820701590905,True
chain_7v_6e,uniform,1,0.28743407130241394,7.985589763848111e-05,99.9722176646364,0.5878465353296708,True
chain_7v_6e,partial,1,0.28743407130241394,0.03046303242444992,89.40173226979788,0.30748890281668606,True
chain_7v_6e,hub,1,0.28743407130241394,0.00024390470935031772,99.91514412044295,0.4992025344320805,True
