========================================================================================================================
RUNNING ATTENTION STRATEGIES ON ALL PDGs
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Processing chain_5v_4e (fixed structure; 50 CPD replicates)
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  [chain_5v_4e] rep 1/50 uniform... /network/scratch/s/samieima/projects/lir/src/run_strategies_on_pdgs.py:399: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  initial_inconsistency = float(torch_score(pdg_copy, mu_state, LIR_GAMMA))
✓ Res 100.0%
  [chain_5v_4e] rep 29/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 30/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 30/50 partial... ✓ Res 59.3%
  [chain_5v_4e] rep 30/50 hub... ✓ Res 99.9%
  [chain_5v_4e] rep 31/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 31/50 partial... ✓ Res 73.0%
  [chain_5v_4e] rep 31/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 32/50 uniform... ✓ Res 97.2%
  [chain_5v_4e] rep 32/50 partial... ✓ Res 82.1%
  [chain_5v_4e] rep 32/50 hub... ✓ Res 98.5%
  [chain_5v_4e] rep 33/50 uniform... ✓ Res 82.6%
  [chain_5v_4e] rep 33/50 partial... ✓ Res 76.2%
  [chain_5v_4e] rep 33/50 hub... ✓ Res 82.8%
  [chain_5v_4e] rep 34/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 34/50 partial... ✓ Res 71.2%
  [chain_5v_4e] rep 34/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 35/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 35/50 partial... ✓ Res 33.8%
  [chain_5v_4e] rep 35/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 36/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 36/50 partial... ✓ Res 100.0%
  [chain_5v_4e] rep 36/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 37/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 37/50 partial... ✓ Res 84.9%
  [chain_5v_4e] rep 37/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 38/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 38/50 partial... ✓ Res 86.4%
  [chain_5v_4e] rep 38/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 39/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 39/50 partial... ✓ Res 95.6%
  [chain_5v_4e] rep 39/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 40/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 40/50 partial... ✓ Res 98.9%
  [chain_5v_4e] rep 40/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 41/50 uniform... ✓ Res 99.8%
  [chain_5v_4e] rep 41/50 partial... ✓ Res 95.8%
  [chain_5v_4e] rep 41/50 hub... ✓ Res 99.9%
  [chain_5v_4e] rep 42/50 uniform... 
