environment,algorithm,seed,iteration,loss,l1_dist,n_modes_found,n_terminating_states
original,LogPartitionVarianceGFlowNet,7,65,1.3493256568908691,0.004398103803396225,3,2080
original,LogPartitionVarianceGFlowNet,7,66,2.6382293701171875,0.004398103803396225,3,2112
original,LogPartitionVarianceGFlowNet,7,67,1.6600090265274048,0.004398103803396225,3,2144
original,LogPartitionVarianceGFlowNet,7,68,0.9324670433998108,0.004398103803396225,3,2176
original,LogPartitionVarianceGFlowNet,7,69,0.8501940965652466,0.004398103803396225,3,2208
original,LogPartitionVarianceGFlowNet,7,70,0.3956284821033478,0.004398103803396225,3,2240
original,LogPartitionVarianceGFlowNet,7,71,0.9433459043502808,0.004398103803396225,3,2272
original,LogPartitionVarianceGFlowNet,7,72,0.47124069929122925,0.004398103803396225,3,2304
original,LogPartitionVarianceGFlowNet,7,73,0.7016395926475525,0.004398103803396225,4,2336
original,LogPartitionVarianceGFlowNet,7,74,0.5961120128631592,0.004398103803396225,4,2368
original,LogPartitionVarianceGFlowNet,7,75,0.31125909090042114,0.0036593182012438774,4,2400
original,LogPartitionVarianceGFlowNet,7,76,0.4591678977012634,0.0036593182012438774,4,2432
original,LogPartitionVarianceGFlowNet,7,77,0.8076230883598328,0.0036593182012438774,4,2464
original,LogPartitionVarianceGFlowNet,7,78,1.4056438207626343,0.0036593182012438774,4,2496
original,LogPartitionVarianceGFlowNet,7,79,0.779730498790741,0.0036593182012438774,4,2528
original,LogPartitionVarianceGFlowNet,7,80,0.26967206597328186,0.0036593182012438774,4,2560
original,LogPartitionVarianceGFlowNet,7,81,0.3353551924228668,0.0036593182012438774,4,2592
original,LogPartitionVarianceGFlowNet,7,82,0.2575322985649109,0.0036593182012438774,4,2624
original,LogPartitionVarianceGFlowNet,7,83,0.7791386842727661,0.0036593182012438774,4,2656
original,LogPartitionVarianceGFlowNet,7,84,0.29185083508491516,0.0036593182012438774,4,2688
original,LogPartitionVarianceGFlowNet,7,85,0.9652528762817383,0.0036593182012438774,4,2720
original,LogPartitionVarianceGFlowNet,7,86,0.674767017364502,0.0036593182012438774,4,2752
original,LogPartitionVarianceGFlowNet,7,87,0.4443081319332123,0.0036593182012438774,4,2784
original,LogPartitionVarianceGFlowNet,7,88,0.5355182886123657,0.0036593182012438774,4,2816
original,LogPartitionVarianceGFlowNet,7,89,0.5125020742416382,0.0036593182012438774,4,2848
original,LogPartitionVarianceGFlowNet,7,90,1.1151143312454224,0.0036593182012438774,4,2880
original,LogPartitionVarianceGFlowNet,7,91,0.5398086905479431,0.0036593182012438774,4,2912
original,LogPartitionVarianceGFlowNet,7,92,0.35726815462112427,0.0036593182012438774,4,2944
original,LogPartitionVarianceGFlowNet,7,93,0.38227948546409607,0.0036593182012438774,4,2976
original,LogPartitionVarianceGFlowNet,7,94,0.3528490364551544,0.0036593182012438774,4,3008
original,LogPartitionVarianceGFlowNet,7,95,0.49370133876800537,0.0036593182012438774,4,3040
original,LogPartitionVarianceGFlowNet,7,96,0.8066969513893127,0.0036593182012438774,4,3072
original,LogPartitionVarianceGFlowNet,7,97,0.5481507778167725,0.0036593182012438774,4,3104
original,LogPartitionVarianceGFlowNet,7,98,0.47449493408203125,0.0036593182012438774,4,3136
original,LogPartitionVarianceGFlowNet,7,99,0.8015661835670471,0.0036593182012438774,4,3168
original,LogPartitionVarianceGFlowNet,7,100,0.4046832025051117,0.0029555526562035084,4,3200
original,LogPartitionVarianceGFlowNet,14,1,2.1006879806518555,inf,1,32
original,LogPartitionVarianceGFlowNet,14,2,2.228898286819458,inf,1,64
original,LogPartitionVarianceGFlowNet,14,3,1.32499098777771,inf,1,96
original,LogPartitionVarianceGFlowNet,14,4,1.0281753540039062,inf,1,128
original,LogPartitionVarianceGFlowNet,14,5,1.575190782546997,inf,1,160
original,LogPartitionVarianceGFlowNet,14,6,0.9730346202850342,inf,1,192
original,LogPartitionVarianceGFlowNet,14,7,1.0902811288833618,inf,1,224
original,LogPartitionVarianceGFlowNet,14,8,1.008289098739624,inf,1,256
original,LogPartitionVarianceGFlowNet,14,9,2.089782953262329,inf,1,288
original,LogPartitionVarianceGFlowNet,14,10,0.9943488836288452,inf,1,320
original,LogPartitionVarianceGFlowNet,14,11,1.2130513191223145,inf,1,352
original,LogPartitionVarianceGFlowNet,14,12,0.7505404949188232,inf,1,384
original,LogPartitionVarianceGFlowNet,14,13,0.5790905952453613,inf,1,416
original,LogPartitionVarianceGFlowNet,14,14,1.7447856664657593,inf,1,448
original,LogPartitionVarianceGFlowNet,14,15,0.7998688817024231,inf,1,480
original,LogPartitionVarianceGFlowNet,14,16,1.5384912490844727,inf,1,512
original,LogPartitionVarianceGFlowNet,14,17,1.1220852136611938,inf,1,544
original,LogPartitionVarianceGFlowNet,14,18,2.968022346496582,inf,1,576
original,LogPartitionVarianceGFlowNet,14,19,1.0882456302642822,inf,1,608
original,LogPartitionVarianceGFlowNet,14,20,0.7806915640830994,inf,1,640
original,LogPartitionVarianceGFlowNet,14,21,1.4783697128295898,inf,1,672
original,LogPartitionVarianceGFlowNet,14,22,1.4934532642364502,inf,1,704
original,LogPartitionVarianceGFlowNet,14,23,0.903221070766449,inf,1,736
original,LogPartitionVarianceGFlowNet,14,24,2.956657886505127,inf,1,768
original,LogPartitionVarianceGFlowNet,14,25,2.5173439979553223,0.00508669950067997,1,800
original,LogPartitionVarianceGFlowNet,14,26,2.2390666007995605,0.00508669950067997,1,832
original,LogPartitionVarianceGFlowNet,14,27,1.2093908786773682,0.00508669950067997,1,864
original,LogPartitionVarianceGFlowNet,14,28,1.030316710472107,0.00508669950067997,1,896
original,LogPartitionVarianceGFlowNet,14,29,1.974161982536316,0.00508669950067997,1,928
original,LogPartitionVarianceGFlowNet,14,30,0.4048432409763336,0.00508669950067997,1,960
original,LogPartitionVarianceGFlowNet,14,31,0.360218346118927,0.00508669950067997,1,992
original,LogPartitionVarianceGFlowNet,14,32,1.1009455919265747,0.00508669950067997,1,1024
original,LogPartitionVarianceGFlowNet,14,33,0.5221680402755737,0.00508669950067997,1,1056
original,LogPartitionVarianceGFlowNet,14,34,0.9604467749595642,0.00508669950067997,1,1088
original,LogPartitionVarianceGFlowNet,14,35,0.3730183243751526,0.00508669950067997,1,1120
original,LogPartitionVarianceGFlowNet,14,36,0.616327166557312,0.00508669950067997,1,1152
original,LogPartitionVarianceGFlowNet,14,37,0.6816887855529785,0.00508669950067997,1,1184
original,LogPartitionVarianceGFlowNet,14,38,0.7065111398696899,0.00508669950067997,1,1216
original,LogPartitionVarianceGFlowNet,14,39,0.31859448552131653,0.00508669950067997,1,1248
original,LogPartitionVarianceGFlowNet,14,40,1.6588959693908691,0.00508669950067997,2,1280
original,LogPartitionVarianceGFlowNet,14,41,0.9884339570999146,0.00508669950067997,2,1312
original,LogPartitionVarianceGFlowNet,14,42,0.5377742052078247,0.00508669950067997,2,1344
original,LogPartitionVarianceGFlowNet,14,43,1.501900553703308,0.00508669950067997,3,1376
original,LogPartitionVarianceGFlowNet,14,44,1.3238394260406494,0.00508669950067997,3,1408
original,LogPartitionVarianceGFlowNet,14,45,0.66410231590271,0.00508669950067997,3,1440
original,LogPartitionVarianceGFlowNet,14,46,0.9333858489990234,0.00508669950067997,3,1472
original,LogPartitionVarianceGFlowNet,14,47,1.4213440418243408,0.00508669950067997,3,1504
original,LogPartitionVarianceGFlowNet,14,48,0.5142838358879089,0.00508669950067997,3,1536
original,LogPartitionVarianceGFlowNet,14,49,0.6074095964431763,0.00508669950067997,3,1568
original,LogPartitionVarianceGFlowNet,14,50,0.561134397983551,0.004417754244059324,3,1600
original,LogPartitionVarianceGFlowNet,14,51,0.555115818977356,0.004417754244059324,3,1632
