environment,algorithm,seed,iteration,loss,l1_dist,n_modes_found,n_terminating_states
original,LogPartitionVarianceGFlowNet,7,1,1.403326153755188,inf,1,32
original,LogPartitionVarianceGFlowNet,7,2,1.2279478311538696,inf,1,64
original,LogPartitionVarianceGFlowNet,7,3,1.4091863632202148,inf,1,96
original,LogPartitionVarianceGFlowNet,7,4,1.4984219074249268,inf,1,128
original,LogPartitionVarianceGFlowNet,7,5,1.7705135345458984,inf,1,160
original,LogPartitionVarianceGFlowNet,14,1,2.1006879806518555,inf,1,32
original,LogPartitionVarianceGFlowNet,14,2,2.228898286819458,inf,1,64
original,LogPartitionVarianceGFlowNet,14,3,1.32499098777771,inf,1,96
original,LogPartitionVarianceGFlowNet,14,4,1.0281753540039062,inf,1,128
original,LogPartitionVarianceGFlowNet,14,5,1.575190782546997,inf,1,160
original,LogPartitionVarianceGFlowNet,21,1,1.6178478002548218,inf,1,32
original,LogPartitionVarianceGFlowNet,21,2,1.6316723823547363,inf,1,64
original,LogPartitionVarianceGFlowNet,21,3,1.8750925064086914,inf,1,96
original,LogPartitionVarianceGFlowNet,21,4,1.5549871921539307,inf,1,128
original,LogPartitionVarianceGFlowNet,21,5,1.1190321445465088,inf,1,160
original,LogPartitionVarianceGFlowNet,28,1,0.947403609752655,inf,1,32
original,LogPartitionVarianceGFlowNet,28,2,0.8675083518028259,inf,1,64
original,LogPartitionVarianceGFlowNet,28,3,2.9960460662841797,inf,1,96
original,LogPartitionVarianceGFlowNet,28,4,3.0346455574035645,inf,1,128
original,LogPartitionVarianceGFlowNet,28,5,0.9212325811386108,inf,1,160
original,LogPartitionVarianceGFlowNet,35,1,1.8160814046859741,inf,1,32
original,LogPartitionVarianceGFlowNet,35,2,1.7110300064086914,inf,1,64
original,LogPartitionVarianceGFlowNet,35,3,1.8960736989974976,inf,1,96
original,LogPartitionVarianceGFlowNet,35,4,1.1721971035003662,inf,1,128
original,LogPartitionVarianceGFlowNet,35,5,1.5263373851776123,inf,1,160
original,ModifiedLogPartitionVarianceGFlowNet,7,1,606732.625,inf,1,32
original,ModifiedLogPartitionVarianceGFlowNet,7,2,412028.375,inf,1,64
original,ModifiedLogPartitionVarianceGFlowNet,7,3,507673.8125,inf,1,96
original,ModifiedLogPartitionVarianceGFlowNet,7,4,574698.6875,inf,1,128
original,ModifiedLogPartitionVarianceGFlowNet,7,5,438893.34375,inf,1,160
original,ModifiedLogPartitionVarianceGFlowNet,14,1,732471.1875,inf,1,32
original,ModifiedLogPartitionVarianceGFlowNet,14,2,725069.5,inf,1,64
original,ModifiedLogPartitionVarianceGFlowNet,14,3,572826.625,inf,1,96
original,ModifiedLogPartitionVarianceGFlowNet,14,4,333929.28125,inf,1,128
original,ModifiedLogPartitionVarianceGFlowNet,14,5,523627.25,inf,1,160
original,ModifiedLogPartitionVarianceGFlowNet,21,1,653416.625,inf,1,32
original,ModifiedLogPartitionVarianceGFlowNet,21,2,647488.4375,inf,1,64
original,ModifiedLogPartitionVarianceGFlowNet,21,3,599563.6875,inf,1,96
original,ModifiedLogPartitionVarianceGFlowNet,21,4,581584.0,inf,1,128
original,ModifiedLogPartitionVarianceGFlowNet,21,5,423218.71875,inf,1,160
original,ModifiedLogPartitionVarianceGFlowNet,28,1,364923.75,inf,1,32
original,ModifiedLogPartitionVarianceGFlowNet,28,2,307049.125,inf,1,64
original,ModifiedLogPartitionVarianceGFlowNet,28,3,879961.125,inf,1,96
original,ModifiedLogPartitionVarianceGFlowNet,28,4,676414.25,inf,1,128
original,ModifiedLogPartitionVarianceGFlowNet,28,5,377665.0,inf,1,160
original,ModifiedLogPartitionVarianceGFlowNet,35,1,645584.3125,inf,1,32
original,ModifiedLogPartitionVarianceGFlowNet,35,2,645669.9375,inf,1,64
original,ModifiedLogPartitionVarianceGFlowNet,35,3,612126.6875,inf,1,96
original,ModifiedLogPartitionVarianceGFlowNet,35,4,407456.09375,inf,1,128
original,ModifiedLogPartitionVarianceGFlowNet,35,5,521450.625,inf,1,160
original,TBGFlowNet,7,1,6.002065658569336,inf,1,32
original,TBGFlowNet,7,2,3.9517862796783447,inf,1,64
original,TBGFlowNet,7,3,4.819033622741699,inf,1,96
original,TBGFlowNet,7,4,5.713310241699219,inf,1,128
original,TBGFlowNet,7,5,6.440120697021484,inf,1,160
original,TBGFlowNet,14,1,4.993886470794678,inf,1,32
original,TBGFlowNet,14,2,6.477529525756836,inf,1,64
original,TBGFlowNet,14,3,6.451621055603027,inf,1,96
original,TBGFlowNet,14,4,3.610340118408203,inf,1,128
original,TBGFlowNet,14,5,6.682308197021484,inf,1,160
original,TBGFlowNet,21,1,5.532887935638428,inf,1,32
original,TBGFlowNet,21,2,5.772991180419922,inf,1,64
original,TBGFlowNet,21,3,6.266511917114258,inf,1,96
original,TBGFlowNet,21,4,5.983702659606934,inf,1,128
original,TBGFlowNet,21,5,6.135178565979004,inf,1,160
original,TBGFlowNet,28,1,3.6650912761688232,inf,1,32
original,TBGFlowNet,28,2,6.426213264465332,inf,1,64
original,TBGFlowNet,28,3,5.577671527862549,inf,1,96
original,TBGFlowNet,28,4,6.441781997680664,inf,1,128
original,TBGFlowNet,28,5,7.7516703605651855,inf,1,160
original,TBGFlowNet,35,1,5.49932336807251,inf,1,32
original,TBGFlowNet,35,2,5.477719306945801,inf,1,64
original,TBGFlowNet,35,3,7.216395378112793,inf,1,96
original,TBGFlowNet,35,4,4.586819171905518,inf,1,128
original,TBGFlowNet,35,5,7.640698432922363,inf,1,160
original,ModifiedTBGFlowNet,7,1,86028.765625,inf,1,32
original,ModifiedTBGFlowNet,7,2,121316.0234375,inf,1,64
