pdg_name,strategy,replicate,step,tv_theta
chain_5v_4e,uniform,0,0,0.0
chain_5v_4e,uniform,0,1,0.16371786546388473
chain_5v_4e,uniform,0,2,0.3328578450817963
chain_5v_4e,uniform,0,3,0.49865004841520555
chain_5v_4e,uniform,0,4,0.6396843759086821
chain_5v_4e,uniform,0,5,0.8040366469652104
chain_5v_4e,uniform,0,6,0.9280345273083449
chain_5v_4e,uniform,0,7,1.0318985028575505
chain_5v_4e,uniform,0,8,1.0138207281614768
chain_5v_4e,uniform,0,9,1.0268610830509532
chain_5v_4e,uniform,0,10,1.057426721867607
chain_5v_4e,uniform,0,11,1.081536352625749
chain_5v_4e,uniform,0,12,1.07162689787661
chain_5v_4e,uniform,0,13,1.0853760598421305
chain_5v_4e,uniform,0,14,1.1146394862172928
chain_5v_4e,uniform,0,15,1.1104436577580437
chain_5v_4e,uniform,0,16,1.102981728686523
chain_5v_4e,uniform,0,17,1.1126666838706998
chain_5v_4e,uniform,0,18,1.1173368443128113
chain_5v_4e,uniform,0,19,1.110573970479849
chain_5v_4e,uniform,0,20,1.1215296583439247
chain_5v_4e,partial,0,0,0.0
chain_5v_4e,partial,0,1,0.02549042891501016
chain_5v_4e,partial,0,2,0.07499252071824139
chain_5v_4e,partial,0,3,0.16450011287556124
chain_5v_4e,partial,0,4,0.18225371818807384
chain_5v_4e,partial,0,5,0.27347673514312815
chain_5v_4e,partial,0,6,0.3660717069297907
chain_5v_4e,partial,0,7,0.3820653592000484
chain_5v_4e,partial,0,8,0.4090059388991736
chain_5v_4e,partial,0,9,0.4429978964130561
chain_5v_4e,partial,0,10,0.5368705859988849
chain_5v_4e,partial,0,11,0.6303064172653421
chain_5v_4e,partial,0,12,0.6665727287660411
chain_5v_4e,partial,0,13,0.675533767019535
chain_5v_4e,partial,0,14,0.6938167482449221
chain_5v_4e,partial,0,15,0.6894932191194458
chain_5v_4e,partial,0,16,0.7256419760536115
chain_5v_4e,partial,0,17,0.8068156527165498
chain_5v_4e,partial,0,18,0.8485647813726528
chain_5v_4e,partial,0,19,0.8447795121423785
chain_5v_4e,partial,0,20,0.8214586096889043
chain_5v_4e,hub,0,0,0.0
chain_5v_4e,hub,0,1,0.1594904589672739
chain_5v_4e,hub,0,2,0.36145032947535904
chain_5v_4e,hub,0,3,0.5178021229578909
chain_5v_4e,hub,0,4,0.7086913408167967
chain_5v_4e,hub,0,5,0.8733797119454819
chain_5v_4e,hub,0,6,0.950269984150976
chain_5v_4e,hub,0,7,1.0369925522754975
chain_5v_4e,hub,0,8,1.0960246933202231
chain_5v_4e,hub,0,9,1.0988420289828433
chain_5v_4e,hub,0,10,1.1383068663345615
chain_5v_4e,hub,0,11,1.1881850664562261
chain_5v_4e,hub,0,12,1.1628830060762645
chain_5v_4e,hub,0,13,1.202461465787911
chain_5v_4e,hub,0,14,1.1975452118422298
chain_5v_4e,hub,0,15,1.2019723478929796
chain_5v_4e,hub,0,16,1.1865177771357622
chain_5v_4e,hub,0,17,1.2034923020395194
chain_5v_4e,hub,0,18,1.2154907014148826
chain_5v_4e,hub,0,19,1.2505206430955207
chain_5v_4e,hub,0,20,1.2616435906726964
chain_5v_4e,uniform,1,0,0.0
chain_5v_4e,uniform,1,1,0.14904051959225179
chain_5v_4e,uniform,1,2,0.2333282255173608
chain_5v_4e,uniform,1,3,0.2931390097044152
chain_5v_4e,uniform,1,4,0.4004515291794773
chain_5v_4e,uniform,1,5,0.4669152945508892
chain_5v_4e,uniform,1,6,0.5769903324125101
chain_5v_4e,uniform,1,7,0.6681317752985823
chain_5v_4e,uniform,1,8,0.781583285104794
chain_5v_4e,uniform,1,9,0.8140550247083663
chain_5v_4e,uniform,1,10,0.8039618208938808
chain_5v_4e,uniform,1,11,0.8271878536921271
chain_5v_4e,uniform,1,12,0.8204698812111657
chain_5v_4e,uniform,1,13,0.8123800987904051
chain_5v_4e,uniform,1,14,0.7927415817749195
chain_5v_4e,uniform,1,15,0.7391590380910205
chain_5v_4e,uniform,1,16,0.7691914618952682
chain_5v_4e,uniform,1,17,0.7669668275512151
chain_5v_4e,uniform,1,18,0.7584445743673854
chain_5v_4e,uniform,1,19,0.7737674474809865
chain_5v_4e,uniform,1,20,0.7711149439894063
