pdg_name,strategy,replicate,step,tv_theta
chain_7v_6e,uniform,0,0,0.0
chain_7v_6e,uniform,0,1,0.28896868406535015
chain_7v_6e,uniform,0,2,0.5650955760686474
chain_7v_6e,uniform,0,3,0.7677101238808586
chain_7v_6e,uniform,0,4,0.7847870981068972
chain_7v_6e,uniform,0,5,0.8491700390259653
chain_7v_6e,uniform,0,6,0.9094143817602278
chain_7v_6e,uniform,0,7,0.9479267361867417
chain_7v_6e,uniform,0,8,0.995584948627387
chain_7v_6e,uniform,0,9,1.0443247635186867
chain_7v_6e,uniform,0,10,1.089571518619893
chain_7v_6e,uniform,0,11,1.149139681783019
chain_7v_6e,uniform,0,12,1.2103155811253954
chain_7v_6e,uniform,0,13,1.258008951422492
chain_7v_6e,uniform,0,14,1.3358129839490216
chain_7v_6e,uniform,0,15,1.4101699607058014
chain_7v_6e,uniform,0,16,1.5035649220819045
chain_7v_6e,uniform,0,17,1.5424743914015289
chain_7v_6e,uniform,0,18,1.595479261478936
chain_7v_6e,uniform,0,19,1.675688281299274
chain_7v_6e,uniform,0,20,1.7538988890396645
chain_7v_6e,partial,0,0,0.0
chain_7v_6e,partial,0,1,0.157272856544106
chain_7v_6e,partial,0,2,0.2780074215402654
chain_7v_6e,partial,0,3,0.3483536385247443
chain_7v_6e,partial,0,4,0.41435372147060157
chain_7v_6e,partial,0,5,0.5235807099897203
chain_7v_6e,partial,0,6,0.5339762257317104
chain_7v_6e,partial,0,7,0.5871788228335386
chain_7v_6e,partial,0,8,0.6442488996306033
chain_7v_6e,partial,0,9,0.6868415204544247
chain_7v_6e,partial,0,10,0.6661259577576273
chain_7v_6e,partial,0,11,0.7109093828889297
chain_7v_6e,partial,0,12,0.8073554078262487
chain_7v_6e,partial,0,13,0.866995677127215
chain_7v_6e,partial,0,14,0.9173708845279616
chain_7v_6e,partial,0,15,0.953446377638486
chain_7v_6e,partial,0,16,0.9932084838205979
chain_7v_6e,partial,0,17,0.9980548910612899
chain_7v_6e,partial,0,18,1.0245381303385905
chain_7v_6e,partial,0,19,1.057984934478143
chain_7v_6e,partial,0,20,1.064656206484553
chain_7v_6e,hub,0,0,0.0
chain_7v_6e,hub,0,1,0.2682678768045929
chain_7v_6e,hub,0,2,0.5002424870867448
chain_7v_6e,hub,0,3,0.6462261947022283
chain_7v_6e,hub,0,4,0.7340879767802242
chain_7v_6e,hub,0,5,0.7941586980398782
chain_7v_6e,hub,0,6,0.8329903079169945
chain_7v_6e,hub,0,7,0.8517358590712181
chain_7v_6e,hub,0,8,0.8789817688567132
chain_7v_6e,hub,0,9,0.9026963074740323
chain_7v_6e,hub,0,10,0.8298592354669225
chain_7v_6e,hub,0,11,0.839539066794134
chain_7v_6e,hub,0,12,0.8096202354479526
chain_7v_6e,hub,0,13,0.9079694218863289
chain_7v_6e,hub,0,14,0.9188183572068774
chain_7v_6e,hub,0,15,0.9238409866165748
chain_7v_6e,hub,0,16,0.9161214808582836
chain_7v_6e,hub,0,17,0.9405034245032868
chain_7v_6e,hub,0,18,0.9362215226526993
chain_7v_6e,hub,0,19,0.9661055993538005
chain_7v_6e,hub,0,20,0.9761704078714741
chain_7v_6e,uniform,1,0,0.0
chain_7v_6e,uniform,1,1,0.25162739687510677
chain_7v_6e,uniform,1,2,0.4394570953038224
chain_7v_6e,uniform,1,3,0.5412539575135966
chain_7v_6e,uniform,1,4,0.5663811330767626
chain_7v_6e,uniform,1,5,0.6231900207640095
chain_7v_6e,uniform,1,6,0.6935236123880981
chain_7v_6e,uniform,1,7,0.8115842445269295
chain_7v_6e,uniform,1,8,0.864331921915812
chain_7v_6e,uniform,1,9,0.9435769471457925
chain_7v_6e,uniform,1,10,1.0161519239952221
chain_7v_6e,uniform,1,11,1.1113583301842755
chain_7v_6e,uniform,1,12,1.1847310810939056
chain_7v_6e,uniform,1,13,1.2353857145009903
chain_7v_6e,uniform,1,14,1.283856312860136
chain_7v_6e,uniform,1,15,1.3194789756357446
chain_7v_6e,uniform,1,16,1.406127342337406
chain_7v_6e,uniform,1,17,1.5072693000561364
chain_7v_6e,uniform,1,18,1.5622944561010779
chain_7v_6e,uniform,1,19,1.6187972847587826
chain_7v_6e,uniform,1,20,1.6507813832949683
chain_7v_6e,partial,1,0,0.0
chain_7v_6e,partial,1,1,0.0977598389165874
chain_7v_6e,partial,1,2,0.19094967299527998
chain_7v_6e,partial,1,3,0.26254671852145806
chain_7v_6e,partial,1,4,0.3295549582442459
chain_7v_6e,partial,1,5,0.41575755830370653
chain_7v_6e,partial,1,6,0.4879614475567612
chain_7v_6e,partial,1,7,0.5601354907738458
chain_7v_6e,partial,1,8,0.6249315899060832
chain_7v_6e,partial,1,9,0.6515381879667415
chain_7v_6e,partial,1,10,0.72740281454497
chain_7v_6e,partial,1,11,0.8152563340075973
chain_7v_6e,partial,1,12,0.8429021605302065
chain_7v_6e,partial,1,13,0.9080131448544373
chain_7v_6e,partial,1,14,0.9747517324291557
chain_7v_6e,partial,1,15,1.019085144735107
chain_7v_6e,partial,1,16,1.0716946446762132
chain_7v_6e,partial,1,17,1.152254239016582
chain_7v_6e,partial,1,18,1.1852915531039727
chain_7v_6e,partial,1,19,1.2513899681850291
chain_7v_6e,partial,1,20,1.324085657125483
chain_7v_6e,hub,1,0,0.0
chain_7v_6e,hub,1,1,0.23905038822603694
chain_7v_6e,hub,1,2,0.3935236894769418
chain_7v_6e,hub,1,3,0.5356524220281871
chain_7v_6e,hub,1,4,0.6505523775799567
chain_7v_6e,hub,1,5,0.7479898213054469
chain_7v_6e,hub,1,6,0.7678869635698455
chain_7v_6e,hub,1,7,0.8732902893456145
chain_7v_6e,hub,1,8,0.9287003417169827
chain_7v_6e,hub,1,9,0.9803644025518241
chain_7v_6e,hub,1,10,1.0176273591222806
chain_7v_6e,hub,1,11,0.9895018973525295
chain_7v_6e,hub,1,12,1.0915998438484713
chain_7v_6e,hub,1,13,1.0898725124240543
chain_7v_6e,hub,1,14,1.0895040937721443
chain_7v_6e,hub,1,15,1.1360311235680243
chain_7v_6e,hub,1,16,1.1589631312805182
chain_7v_6e,hub,1,17,1.1811763154299226
chain_7v_6e,hub,1,18,1.2561489032679292
chain_7v_6e,hub,1,19,1.3043981471904824
chain_7v_6e,hub,1,20,1.2649015516023465
chain_7v_6e,uniform,2,0,0.0
chain_7v_6e,uniform,2,1,0.24653522002456396
chain_7v_6e,uniform,2,2,0.4969237612040228
chain_7v_6e,uniform,2,3,0.7484841392412074
chain_7v_6e,uniform,2,4,1.0024578736142038
chain_7v_6e,uniform,2,5,1.2568952724366897
chain_7v_6e,uniform,2,6,1.4928696445096754
chain_7v_6e,uniform,2,7,1.6641513356464017
chain_7v_6e,uniform,2,8,1.8366245649836341
chain_7v_6e,uniform,2,9,1.997171280585385
chain_7v_6e,uniform,2,10,2.143046615479222
chain_7v_6e,uniform,2,11,2.216541383148959
chain_7v_6e,uniform,2,12,2.208629016261885
chain_7v_6e,uniform,2,13,2.181095092459598
chain_7v_6e,uniform,2,14,2.2081209820025016
chain_7v_6e,uniform,2,15,2.210653010688114
chain_7v_6e,uniform,2,16,2.196961858055923
chain_7v_6e,uniform,2,17,2.193818614941447
chain_7v_6e,uniform,2,18,2.224960163341972
chain_7v_6e,uniform,2,19,2.213299216253464
chain_7v_6e,uniform,2,20,2.2033382904782046
chain_7v_6e,partial,2,0,0.0
chain_7v_6e,partial,2,1,0.12981361061978153
chain_7v_6e,partial,2,2,0.2610686078827662
chain_7v_6e,partial,2,3,0.29105641563798174
chain_7v_6e,partial,2,4,0.3694365909715219
chain_7v_6e,partial,2,5,0.41521974950043083
chain_7v_6e,partial,2,6,0.4424346906046591
chain_7v_6e,partial,2,7,0.5248439160234974
chain_7v_6e,partial,2,8,0.6497319623581729
chain_7v_6e,partial,2,9,0.6963967690980554
chain_7v_6e,partial,2,10,0.7618686471431367
chain_7v_6e,partial,2,11,0.8206628304940758
chain_7v_6e,partial,2,12,0.8717755934825959
chain_7v_6e,partial,2,13,0.953522549615369
chain_7v_6e,partial,2,14,1.0352536424031717
chain_7v_6e,partial,2,15,1.0728369620998326
chain_7v_6e,partial,2,16,1.1133711158955222
chain_7v_6e,partial,2,17,1.2185307547135087
chain_7v_6e,partial,2,18,1.2618715522476849
chain_7v_6e,partial,2,19,1.3464510499208315
chain_7v_6e,partial,2,20,1.4230475666097169
chain_7v_6e,hub,2,0,0.0
chain_7v_6e,hub,2,1,0.24078905522607635
chain_7v_6e,hub,2,2,0.4800081984061661
chain_7v_6e,hub,2,3,0.7277564715843615
chain_7v_6e,hub,2,4,0.9738812773364549
chain_7v_6e,hub,2,5,1.2224372145492597
chain_7v_6e,hub,2,6,1.4822439177152484
chain_7v_6e,hub,2,7,1.6891353588624365
chain_7v_6e,hub,2,8,1.8304139966508028
chain_7v_6e,hub,2,9,1.9712561224957406
chain_7v_6e,hub,2,10,2.0900243704382215
chain_7v_6e,hub,2,11,2.246389178006082
chain_7v_6e,hub,2,12,2.2070793063088243
chain_7v_6e,hub,2,13,2.163605765673117
chain_7v_6e,hub,2,14,2.156573503994451
chain_7v_6e,hub,2,15,2.142811124934152
chain_7v_6e,hub,2,16,2.1999044968988306
chain_7v_6e,hub,2,17,2.1813562415984458
chain_7v_6e,hub,2,18,2.155900270195383
chain_7v_6e,hub,2,19,2.14484732228843
chain_7v_6e,hub,2,20,2.1575538769458373
chain_7v_6e,uniform,3,0,0.0
chain_7v_6e,uniform,3,1,0.2928653578076036
chain_7v_6e,uniform,3,2,0.5356399932694428
chain_7v_6e,uniform,3,3,0.785375472963928
chain_7v_6e,uniform,3,4,1.0414062099335213
chain_7v_6e,uniform,3,5,1.2326891978261516
chain_7v_6e,uniform,3,6,1.418401127397075
chain_7v_6e,uniform,3,7,1.408492558450137
chain_7v_6e,uniform,3,8,1.3792244458508844
chain_7v_6e,uniform,3,9,1.389701389591297
chain_7v_6e,uniform,3,10,1.4308448234578848
chain_7v_6e,uniform,3,11,1.4554527019274501
chain_7v_6e,uniform,3,12,1.4883263539387672
chain_7v_6e,uniform,3,13,1.5542973793943329
chain_7v_6e,uniform,3,14,1.5185406909014783
chain_7v_6e,uniform,3,15,1.5187413320383116
chain_7v_6e,uniform,3,16,1.53146546183237
chain_7v_6e,uniform,3,17,1.6072828734735338
chain_7v_6e,uniform,3,18,1.6225079374499098
chain_7v_6e,uniform,3,19,1.6293505068449887
chain_7v_6e,uniform,3,20,1.652634277140761
chain_7v_6e,partial,3,0,0.0
chain_7v_6e,partial,3,1,0.09969367217402189
chain_7v_6e,partial,3,2,0.17863950792650257
chain_7v_6e,partial,3,3,0.20488866077542212
chain_7v_6e,partial,3,4,0.24473607169388414
chain_7v_6e,partial,3,5,0.29180246667588444
chain_7v_6e,partial,3,6,0.33761647487819246
chain_7v_6e,partial,3,7,0.3659305359613194
chain_7v_6e,partial,3,8,0.44529584495433755
chain_7v_6e,partial,3,9,0.5770943086861879
chain_7v_6e,partial,3,10,0.6036624262168446
chain_7v_6e,partial,3,11,0.6302460412312407
chain_7v_6e,partial,3,12,0.6815895763196639
chain_7v_6e,partial,3,13,0.6987306485124902
chain_7v_6e,partial,3,14,0.7071629238721646
chain_7v_6e,partial,3,15,0.7068390137892446
chain_7v_6e,partial,3,16,0.710268216908434
chain_7v_6e,partial,3,17,0.7482142203195247
chain_7v_6e,partial,3,18,0.7724141064784756
chain_7v_6e,partial,3,19,0.8509361382730639
chain_7v_6e,partial,3,20,0.93707995172651
chain_7v_6e,hub,3,0,0.0
chain_7v_6e,hub,3,1,0.2826148375431992
chain_7v_6e,hub,3,2,0.47561409810767447
chain_7v_6e,hub,3,3,0.7062264738048787
chain_7v_6e,hub,3,4,0.9143429671168299
